title,sinopsis,isbn
Stranger in a Strange Land,"Stranger in a Strange Land is a 1961 science fiction novel by American author Robert A. Heinlein. It tells the story of Valentine Michael Smith, a human who comes to Earth in early adulthood after being born on the planet Mars and raised by Martians. The novel explores his interaction with—and eventual transformation of—terrestrial culture. The title is an allusion to the phrase in Exodus 2:22. According to Heinlein, the novel's working title was The Heretic. Several later editions of the book have promoted it as ""The most famous Science Fiction Novel ever written"".",0441788386
"The Final Empire (Mistborn, #1)",,076531178X
"The No. 1 Ladies'' Detective Agency  (No. 1 Ladies'' Detective Agency, #1)",,1400034779
"Speaker for the Dead (Ender''s Saga, #2)",,0812550757
Under the Dome,"Under the Dome is a 2009 science fiction novel by the American author, Stephen King. Under the Dome is the 58th book published by Stephen King, and it is his 48th novel. The novel focuses on a small Maine town, and tells an intricate, multi-character, alternating perspective story of how the town's inhabitants contend with the calamity of being suddenly cut off from the outside world by an impassable, invisible glass dome-like barrier that seemingly falls out of the sky, transforming the community into a domed city. ---------- Contains: - [Under the Dome 1/2](https://openlibrary.org/works/OL18003966W/Under_the_Dome_1_2) - [Under the Dome 2/2](https://openlibrary.org/works/OL18168854W/Under_the_Dome_2_2)",1439148503
Is Everyone Hanging Out Without Me? (And Other Concerns),"Mindy Kaling has lived many lives: the obedient child of immigrant professionals, a timid chubster afraid of her own bike, a Ben Affleck - impersonating Off-Broadway performer and playwright, and, finally, a comedy writer and actress prone to starting fights with her friends and coworkers with the sentence ""Can I just say one last thing about this, and then I swear I'll shut up about it?"" Perhaps you want to know what Mindy thinks makes a great best friend (someone who will fill your prescription in the middle of the night), or what makes a great guy (one who is aware of all elderly people in any room at any time and acts accordingly), or what is the perfect amount of fame (so famous you can never get convicted of murder in a court of law), or how to maintain a trim figure (you will not find that information in these pages). If so, you've come to the right book, mostly! In Is Everyone Hanging Out Without Me?, Mindy invites readers on a tour of her life and her unscientific observations on romance, friendship, and Hollywood, with several conveniently placed stopping points for you to run errands and make phone calls. Mindy Kaling really is just a Girl Next Door - not so much literally anywhere in the continental United States, but definitely if you live in India or Sri Lanka.",0307886263
"Hush, Hush (Hush, Hush, #1)",,1416989412
A Separate Peace,,0743253973
Where the Heart Is,"Talk about unlucky sevens. An hour ago, seventeen-year-old, seven months pregnant Novalee Nation was heading for California with her boyfriend. Now she finds herself stranded at a Wal-Mart in Sequoyah, Oklahoma, with just $7.77 in change. But Novalee is about to discover hidden treasures in this small Southwest town--a group of down-to-earth, deeply caring people willing to help a homeless, jobless girl living secretly in a Wal-Mart. From Bible-thumping blue-haired Sister Thelma Husband to eccentric librarian Forney Hull who loves Novalee more than she loves herself, they are about to take her--and you, too--on a moving, funny, and unforgettable journey to . . . Where the Heart Is.",0446672211
"Graceling (Graceling Realm, #1)",,015206396X
The Phantom Tollbooth,"The Phantom Tollbooth is a children's fantasy adventure novel written by Norton Juster with illustrations by Jules Feiffer. It was published in 1961 by Random House (USA). It tells the story of a bored young boy named Milo who unexpectedly receives a magic tollbooth one afternoon and, having nothing better to do, drives through it in his toy car, transporting him to the Kingdom of Wisdom, once prosperous but now troubled. There, he acquires two faithful companions, a dog named Tock and the Humbug, and goes on a quest to restore to the kingdom its exiled princesses—named Rhyme and Reason—from the Castle in the Air. In the process, he learns valuable lessons, finding a love of learning. The text is full of puns and wordplay, such as when Milo unintentionally jumps to Conclusions, an island in Wisdom, thus exploring the literal meanings of idioms.",0394820371
"Marked (House of Night, #1)",,0312360266
Cujo,Cujo (/ˈkjuːdʒoʊ/) is a 1981 psychological horror novel by American writer Stephen King about a rabid Saint Bernard. The novel won the British Fantasy Award in 1982 and was made into a film in 1983.,0307348245
"The Silver Chair (Chronicles of Narnia, #4)",,0064405044
Station Eleven,"One snowy night Arthur Leander, a famous actor, has a heart attack onstage during a production of ""King Lear."" Jeevan Chaudhary, a paparazzo-turned-EMT, is in the audience and leaps to his aid. A child actress named Kirsten Raymonde watches in horror as Jeevan performs CPR, pumping Arthur's chest as the curtain drops, but Arthur is dead. That same night, as Jeevan walks home from the theater, a terrible flu begins to spread. Hospitals are flooded and Jeevan and his brother barricade themselves inside an apartment, watching out the window as cars clog the highways, gunshots ring out, and life disintegrates around them. Fifteen years later, Kirsten is an actress with the Traveling Symphony. Together, this small troupe moves between the settlements of an altered world, performing Shakespeare and music for scattered communities of survivors. Written on their caravan, and tattooed on Kirsten's arm is a line from Star Trek: ""Because survival is insufficient."" But when they arrive in St. Deborah by the Water, they encounter a violent prophet who digs graves for anyone who dares to leave. In a future in which a pandemic has left few survivors, actress Kirsten Raymonde travels with a troupe performing Shakespeare and finds herself in a community run by a deranged prophet. The plot contains mild profanity and violence.",0385353308
The Brief Wondrous Life of Oscar Wao,"Things have never been easy for Oscar. A ghetto nerd living with his Dominican family in New Jersey, he's sweet but disastrously overweight. He dreams of becoming the next J. R. R. Tolkien and he keeps falling hopelessly in love. Poor Oscar may never get what he wants, thanks to the Fuku - the curse that has haunted his family for generations. With dazzling energy and insight Díaz immerses us in the tumultuous lives of Oscar, his runaway sister Lola, their beautiful mother Belicia, and in the family's uproarious journey from the Dominican Republic to the US and back. Rendered with uncommon warmth and humour, *The Brief Wondrous Life of Oscar Wao* is a literary triumph, that confirms Junot Díaz as one of the most exciting writers of our time.",1594489580
"Delirium (Delirium, #1)",,0061726834
"I, Robot (Robot #0.1)",,0553803700
Under the Tuscan Sun,"Now in paperback, the #1 San Francisco Chronicle bestseller that is an enchanting and lyrical look at the life, the traditions, and the cuisine of Tuscany, in the spirit of Peter Mayle's *A Year in Provence*. Frances Mayes entered a wondrous new world when she began restoring an abandoned villa in the spectacular Tuscan countryside. There were unexpected treasures at every turn: faded frescos beneath the whitewash in her dining room, a vineyard under wildly overgrown brambles in the garden, and, in the nearby hill towns, vibrant markets and delightful people. In *Under the Tuscan Sun*, she brings the lyrical voice of a poet, the eye of a seasoned traveler, and the discerning palate of a cook and food writer to invite readers to explore the pleasures of Italian life and to feast at her table. From the Trade Paperback edition.",0767900383
"Fallen (Fallen, #1)","What if the person you were meant to be with could never be yours? 17-year-old Lucinda falls in love with a gorgeous, intelligent boy, Daniel, at her new school, the grim, foreboding Sword & Cross . . . only to find out that Daniel is a fallen angel, and that they have spent lifetimes finding and losing one another as good & evil forces plot to keep them apart. SOME ANGELS ARE DESTINED TO FALL... An intensely addictive teen novel about fallen angels and forbidden love, ideal for fans of Stephenie Meyer.",0385738935
Snow Falling on Cedars,"On San Piedro, an island of rugged, spectacular beauty in Puget Sound, home to salmon fishermen and strawberry farmers, a Japanese-American fisherman stands trial, charged with murder. The year is 1954, and the shadow of World War II, with its brutality abroad and internment of Japanese Americans at home, hangs over the courtroom. Ishmael Cambers, who lost an arm in the Pacific war and now runs the island newspaper inherited from his father, is among the journalists covering the trial--a trial that brings him close, once again, to Hatsue Miyamoto, the wife of the accused man and Ishmael's never-forgotten boyhood love. Now, as a heavy snowfall impedes the progress of Kabuo Miyamoto's trial, he and others must reckon with the past, with culture, nature, and love, and with the possibilities of the human will. Both suspenseful and beautifully crafted, *Snow Falling on Cedars* portrays the psychology of a community, the ambiguities of justice, the racism that persists even between neighbors, and the necessity of individual moral action despite the indifference of nature and circumstance.",067976402X
The Secret History,"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last - inexorably - into evil.",1400031702
Tess of the D'Urbervilles,,0141439599
The Amazing Adventures of Kavalier & Clay,"The novel begins in 1939 with the arrival of 19-year-old Josef ""Joe"" Kavalier as a refugee in New York City, where he comes to live with his 17-year-old cousin Sammy Klayman. Joe escaped from Prague with the help of his teacher Kornblum by hiding in a coffin along with the inanimate Golem of Prague, leaving the rest of his family, including his younger brother Thomas, behind. Besides having a shared interest in drawing, Sammy and Joe share several connections to Jewish stage magician Harry Houdini: Joe (like comics legend Jim Steranko) studied magic and escapology in Prague, which aided him in his departure from Europe, and Sammy is the son of the Mighty Molecule, a strongman on the vaudeville circuit. When Sammy discovers Joe's artistic talent, Sammy gets Joe a job as an illustrator for a novelty products company, which, due to the recent success of Superman, is attempting to get into the comic-book business. Under the name ""Sam Clay"", Sammy starts writing adventure stories with Joe illustrating them, and the two recruit several other Brooklyn teenagers to produce Amazing Midget Radio Comics (named to promote one of the company's novelty items). The pair is at once passionate about their creation, optimistic about making money, and always nervous about the opinion of their employers. The magazine features Sammy and Joe's character the Escapist, an anti-fascist superhero who combines traits of (among others) Captain America, Harry Houdini, Batman, the Phantom, and the Scarlet Pimpernel. The Escapist becomes tremendously popular, but like talent behind Superman, the writers and artists of the comic get a minimal share of their publisher's revenue. Sammy and Joe are slow to realize that they are being exploited, as they have private concerns: Joe is trying to help his family escape from Nazi-occupied Prague, and has fallen in love with the bohemian Rosa Saks, who has her own artistic aspirations, while Clay is battling with his sexual identity and the lackluster progress of his literary career. For many months after coming to New York, Joe is driven almost solely by an intense desire to improve the condition of his family, still living under a regime increasingly hostile to their kind. This drive shows through in his work, which remains for a long time unabashedly anti-Nazi despite his employer's concerns. In the meantime, he is spending more and more time with Rosa, appearing as a magician in the bar mitzvahs of the children of Rosa's father's acquaintances, even though he sometimes feels guilty at indulging in these distractions from the primary task of fighting for his family. After multiple attempts and considerable monetary sacrifice, Joe ultimately fails to get his family to the States, his last attempt having resulted in putting his younger brother aboard a ship that sank into the Atlantic. Distraught and unaware that Rosa is pregnant with his child, Joe enlists in the navy, hoping to fight the Germans. Instead, he is sent to a lonely, cold naval base in Antarctica, from which he emerges the lone survivor after a series of deaths. When he makes it back to New York, ashamed to show his face again to Rosa and Sammy, he lives and sleeps in a hideout in the Empire State Building, known only to a small circle of magician-friends. Meanwhile, Sam battles with his sexuality, shown mostly through his relationship with the radio voice of The Escapist, Tracy Bacon. Bacon's movie-star good-looks initially intimidate Clay, but they later fall in love. When Tracy is cast as The Escapist in the film version, he invites Clay to move to Hollywood with him, an offer that Clay accepts. But later, when Bacon and Clay go to a friend's beach house with several other gay men and couples, the company's private dinner is broken up by the local police as well as two off-duty FBI agents. All of the men are arrested, except for two who hid under the dinner table, one of whom is Clay. The FBI agents each claim one of the men and grant them their freedom in return for sexual favors. After this episode, Clay decides that he can't live with the constant threat of being arrested, ridiculed, and judged because of his sexuality. He does not go with Bacon to the West Coast. Some time after Joe leaves, Sammy marries Rosa and moves with her to the suburbs, where they raise her son Tommy in what outwardly appears to be a typical traditional nuclear family. Sammy and Rosa cannot hide all their secrets from Tommy, however, who manages to take private magic lessons in the Empire State Building from Joe for the better part of year without anyone else's knowledge. Tommy is instrumental in finally reuniting the Kavalier and Clay duo, which works with renewed enthusiasm to find a new creative direction for comics. Joe moves into Sammy and Rosa's house. Shortly afterwards, Sammy's homosexuality is revealed on public television. This further complicates the attempts of Rosa, Sammy, and Joe to reconstitute a family. Many events in the novel are based on the lives of actual comic-book creators including Jack Kirby (to whom the book is dedicated in the afterword), Stan Lee, Jerry Siegel, Joe Shuster, Joe Simon, Will Eisner, and Jim Steranko. Other historical figures play minor roles, including Salvador Dalí, Al Smith, Orson Welles, and Fredric Wertham. The novel's time span roughly mirrors that of the Golden Age of Comics itself, starting from shortly after the debut of Superman and concluding with the Kefauver Senate hearings, two events often used to demarcate the era.",0312282990
A Million Little Pieces,"""The most lacerating tale of drug addiction since William S. Burroughs' Junky."" --The Boston Globe""Again and again, the book delivers recollections that leave the reader winded and unsteady. James Frey's staggering recovery memoir could well be seen as the final word on the topic.""--San Francisco Chronicle""A brutal, beautifully written memoir.""--The Denver Post""Gripping . . . A great story . . . You can't help but cheer his victory."" --Los Angeles Times Book ReviewFrom the Trade Paperback edition.",0307276902
What Alice Forgot,"Alice Love is twenty-nine, crazy about her husband, and pregnant with her first child. So imagine her surprise when she comes to on the floor of a gym and is whisked off to the hospital to find out that she's getting divorced, has three kids, and is actually thirty-nine. Now Alice must reconstruct a lost decade -- and try to reconstruct her life. She has to figure out why her sister hardly talks to her, and how is it that she's become one of those super skinny moms with really expensive clothes. Ultimately, she must discover if forgetting is a blessing or a curse, and if it's possible to start over.",0141043768
The Screwtape Letters,"A milestone in the history of popular theology, The Screwtape Letters is an iconic classic on spiritual warfare and the dynamics of temptation.This profound and striking narrative takes the form of a series of letters from Screwtape, a devil high in the Infernal Civil Service, to his nephew Wormwood, a junior colleague engaged in his first mission on earth, trying to secure the damnation of a young man who has just become a Christian. Although the young man initially looks to be a willing victim, he changes his ways and is ""lost"" to the young devil.Dedicated to Lewis's friend and colleague J. R. R. Tolkien, The Screwtape Letters is a timeless classic on spiritual conflict and the psychology of temptation which are part of our religious experience",0060652896
The Pact,"Was it a suicide or was it murder. Inseparable since they were babies, what happened to cause one of them to die?",0061150142
The Last Lecture,"""We cannot change the cards we are dealt, just how we play the hand.” &mdash;Randy Pausch When Randy Pausch, a computer science professor at Carnegie Mellon University, was asked to give a last lecture,"" he didn’t have to imagine it as his last, since he had recently been diagnosed with terminal cancer. But the lecture he gave — “Really Achieving Your Childhood Dreams” — wasn’t about dying. It was about the importance of overcoming obstacles, of enabling the dreams of others, of seizing every moment (because “time is all you have... and you may find one day that you have less than you think”). It was a summation of everything Randy had come to believe. It was about living. In this book, Randy Pausch has combined the humor, inspiration and intelligence that made his lecture such a phenomenon and given it an indelible form. It is a book that will be shared for generations to come. You can watch [The Last Lecture on YouTube][1]. [1]: http://www.youtube.com/watch?v=ji5_MqicxSo",1401323251
"Living Dead in Dallas (Sookie Stackhouse, #2)",,1841493007
"Red Dragon (Hannibal Lecter, #1)",,0525945563
"Little House on the Prairie (Little House, #2)",,0064400026
A Little Princess,,0142437018
"Dragonfly in Amber (Outlander, #2)",,0385335970
The Last Song,"#1 bestselling author Nicholas Sparks's new novel is at once a compelling family drama and a heartrending tale of young love.Seventeen year old Veronica ""Ronnie"" Miller's life was turned upside-down when her parents divorced and her father moved from New York City to Wilmington, North Carolina. Three years later, she remains angry and alientated from her parents, especially her father...until her mother decides it would be in everyone's best interest if she spent the summer in Wilmington with him. Ronnie's father, a former concert pianist and teacher, is living a quiet life in the beach town, immersed in creating a work of art that will become the centerpiece of a local church.The tale that unfolds is an unforgettable story of love on many levels--first love, love between parents and children -- that demonstrates, as only a Nicholas Sparks novel can, the many ways that love can break our hearts...and heal them.",0446547565
"Are You There God? It''s Me, Margaret",,0689841582
Needful Things,"Needful Things is a 1991 horror novel by American author Stephen King. It is the first novel King wrote after his rehabilitation from drug and alcohol addiction. It was made into a film of the same name in 1993 which was directed by Fraser C. Heston. The story focuses on a shop that sells collectibles and antiques, managed by Leland Gaunt, a new arrival to the town of Castle Rock, Maine, the setting of many King stories. Gaunt often asks customers to perform a prank or mysterious deed in exchange for the item they are drawn to. As time goes by, the many deeds and pranks lead to increasing aggression among the townspeople, as well as chaos and death. A protagonist of the book is Alan Pangborn, previously seen in Stephen King's novel [The Dark Half](https://openlibrary.org/works/OL81620W).",045057458X
"The Color of Magic (Discworld, #1; Rincewind #1)",,0060855924
A Heartbreaking Work of Staggering Genius,"From Wikipedia: A Heartbreaking Work of Staggering Genius (ISBN 0-330-48455-9) is a memoir by Dave Eggers released in 2000. It chronicles his stewardship of younger brother Christopher ""Toph"" Eggers following the cancer-related deaths of his parents. The book was an enormous commercial and critical success, reaching number one on The New York Times bestseller list and being nominated as a finalist for the Pulitzer Prize for General Non-Fiction. Time magazine and several newspapers dubbed it ""The Best Book of the Year"". Critics praised the book for its wild, vibrant prose, and it was described as ""big, daring [and] manic-depressive"" by The New York Times. The book was chosen as the 12th best book of the decade by The Times",0375725784
A Streetcar Named Desire,"A Streetcar Named Desire is one of the most remarkable plays of our time. It created an immortal woman in the character of Blanche DuBois, the haggard and fragile southern beauty whose pathetic last grasp at happiness is cruelly destroyed. It shot Marlon Brando to fame in the role of Stanley Kowalski, a sweat-shirted barbarian, the crudely sensual brother-in-law who precipitated Blance's tragedy. Produced across the world and translated into many languages, A Streetcar Named Desire has won one of the widest audiences in contemporary literature. Also contained in: - [New Voices in the American Theatre](https://openlibrary.org/works/OL15163013W/New_Voices_in_the_American_Theatre) - [Plays 1937 - 1955](https://openlibrary.org/works/OL15077942W/Plays_1937_-_1955)",0822210894
"Brisingr (The Inheritance Cycle, #3)",,0375826726
The Cider House Rules,"Set in rural Maine in the first half of this century, it tells the story of Dr. Wilbur Larch--obstetrician and director of the orphanage in the town of St. Clouds. It is also the story of his favorite orphan, Homer, who is never adopted.",0786226749
"The Death Cure (Maze Runner, #3)",,0385738773
A Man Called Ove,,1476738017
"The Son of Neptune (The Heroes of Olympus, #2)",,1423140591
"Storm Front (The Dresden Files, #1)",,0451457811
The God of Small Things,"The God of Small Things is the debut novel of Indian writer Arundhati Roy. It is a story about the childhood experiences of fraternal twins whose lives are destroyed by the ""Love Laws"" that lay down ""who should be loved, and how. And how much."" The book explores how the small things affect people's behavior and their lives. The book also reflects its irony against casteism, which is a major discrimination that prevails in India. It won the Booker Prize in 1997.",0679457313
Timeline,"Timeline is a science fiction novel by American writer Michael Crichton, his twelfth under his own name and twenty-second overall, published in November 1999. It tells the story of a group of history students who travel to 14th-century France to rescue their professor. The book follows in Crichton's long history of combining science, technical details, and action in his books, this time addressing quantum and multiverse theory.",0099244721
"The Last Battle (Chronicles of Narnia, #7)",,0007202326
"Shiver (The Wolves of Mercy Falls, #1)",,0545123267
The War of the Worlds,,0375759239
The Tales of Beedle the Bard,"A collection fairy tales for young wizards and witches, with each story followed by observations on Wizarding history, personal reminiscences, and information on the story's key elements by Hogwarts headmaster, Albus Dumbledore. Wizard and the Hopping Pot -- Fountain of Fair Fortune -- Warlock's Hairy Heart -- Babbitty Rabbitty and her Cackling Stump -- Tale of the Three Brothers.",0747599874
Death of a Salesman,"The blood of Willy Lohman flows in all of us. The story of the salesman who wanted more for his sons than he knew how to get, who harmed them through his well-meaning dreams but atoned with his life, is at least in part the story of all of us. That is why it is one of the most overwhelming successes of the modern American theatre. --back cover Also contained in: - [Arthur Miller's Collected Plays](https://openlibrary.org/works/OL66341W) - [Bedford Introduction to Literature: Reading, Thinking, Writing: 6th edition](https://openlibrary.org/works/OL27051398W) - [Collected Plays 1944-1961](https://openlibrary.org/works/OL15111386W) - [Contemporary Drama: Eleven Plays](https://openlibrary.org/works/OL7507900W) - [Literature: The Human Experience: Reading and Writing](https://openlibrary.org/works/OL14943686W) - [Literature: Structure, sound, and sense: Fourth Edition](https://openlibrary.org/works/OL27052590W) - [New Voices in the American Theatre](https://openlibrary.org/works/OL15163013W/New_Voices_in_the_American_Theatre) - [Penguin Arthur Miller](https://openlibrary.org/works/OL22318521W) - [Portable Arthur Miller](https://openlibrary.org/works/OL66337W/The_Portable_Arthur_Miller) - [Representative Modern Plays, American](https://openlibrary.org/works/OL15858030W/Representative_Modern_Plays_American)",0435233076
War and Peace,"War and Peace delineates in graphic detail events surrounding the French invasion of Russia, and the impact of the Napoleonic era on Tsarist society, as seen through the eyes of five Russian aristocratic families. The novel begins in the year 1805 during the reign of Tsar Alexander I and leads up to the 1812 French invasion of Russia by Napoleon. The era of Catherine the Great (1762–1796), when the royal court in Paris was the centre of western European civilization,[16] is still fresh in the minds of older people. Catherine, fluent in French and wishing to reshape Russia into a great European nation, made French the language of her royal court. For the next one hundred years, it became a social requirement for members of the Russian nobility to speak French and understand French culture.[16] This historical and cultural context in the aristocracy is reflected in War and Peace. Catherine's grandson, Alexander I, came to the throne in 1801 at the age of 24. In the novel, his mother, Marya Feodorovna, is the most powerful woman in the Russian court. War and Peace tells the story of five aristocratic families — the Bezukhovs, the Bolkonskys, the Rostovs, the Kuragins and the Drubetskoys—and the entanglements of their personal lives with the history of 1805–1813, principally Napoleon's invasion of Russia in 1812. The Bezukhovs, while very rich, are a fragmented family as the old Count, Kirill Vladimirovich, has fathered dozens of illegitimate sons. The Bolkonskys are an old established and wealthy family based at Bald Hills. Old Prince Bolkonsky, Nikolai Andreevich, served as a general under Catherine the Great, in earlier wars. The Moscow Rostovs have many estates, but never enough cash. They are a closely knit, loving family who live for the moment regardless of their financial situation. The Kuragin family has three children, who are all of questionable character. The Drubetskoy family is of impoverished nobility, and consists of an elderly mother and her only son, Boris, whom she wishes to push up the career ladder.",0192833987
"Hatchet (Brian''s Saga, #1)",,0689840926
"Club Dead (Sookie Stackhouse, #3)",,1841493015
"Clockwork Prince (The Infernal Devices, #2)",,1416975888
"The Mists of Avalon (Avalon, #1)",,0345350499
Yes Please,"Part memoir, part 'missive-from-the-middle', Yes Please is a hilarious collection of stories, thoughts, ideas, haikus and words-to-live-by drawn from the life and mind of acclaimed actress, writer and comedian Amy Poehler.",0062268341
"Dead to the World (Sookie Stackhouse, #4)",,0441012183
Tuck Everlasting,A surprising encounter between a young girl and a family which is cursed with everlasting life develops into a deep friendship. Lovely prose and a lovely thought provoking story.,0374480095
Cloud Atlas,"From David Mitchell, the Booker Prize nominee, award-winning writer and one of the featured authors in Granta’s “Best of Young British Novelists 2003” issue, comes his highly anticipated third novel, a work of mind-bending imagination and scope. A reluctant voyager crossing the Pacific in 1850; a disinherited composer blagging a precarious livelihood in between-the-wars Belgium; an ambitious journalist in Governor Reagan’s California; a vanity publisher fleeing the mendicant and violent family of his star author; a genetically modified “dinery server” on death-row; and Zachry, a young Pacific Islander witnessing the nightfall of science and civilisation -- the narrators of Cloud Atlas hear each other’s echoes down the corridor of history, and their destinies are changed in ways great and small. In his captivating third novel, David Mitchell erases the boundaries of language, genre and time to offer a meditation on humanity’ s dangerous will to power, and where it may lead us",0375507256
The Brothers Karamazov,,0374528373
David Copperfield,,0140439447
Madame Bovary,,0192840398
An Abundance of Katherines,"Katherine V thought boys were gross Katherine X just wanted to be friends Katherine XVIII dumped him in an e-mail K-19 broke his heart When it comes to relationships, Colin Singleton's type happens to be girls named Katherine. And when it comes to girls named Katherine, Colin is always getting dumped. Nineteen times, to be exact. On a road trip miles from home, this anagram-happy, washed-up child prodigy has ten thousand dollars in his pocket, a bloodthirsty feral hog on his trail, and an overweight, Judge Judy-loving best friend riding shotgun--but no Katherines. Colin is on a mission to prove The Theorem of Underlying Katherine Predictability, which he hopes will predict the future of any relationship, avenge Dumpees everywhere, and finally win him the girl. Love, friendship, and a dead Austro-Hungarian archduke add up to surprising and heart-changing conclusions in this ingeniously layered comic novel about reinventing oneself.",0525476881
Christine,,2253147699
The Dead Zone,"The Dead Zone is a science fiction thriller novel by Stephen King published in 1979. The story follows Johnny Smith, who awakens from a coma of nearly five years and, apparently as a result of brain damage, now experiences clairvoyant and precognitive visions triggered by touch. When some information is blocked from his perception, Johnny refers to that information as being trapped in the part of his brain that is permanently damaged, ""the dead zone."" The novel also follows a serial killer in Castle Rock, and the life of rising politician Greg Stillson, both of whom are evils Johnny must eventually face. Though earlier King books were successful, The Dead Zone was the first of his novels to rank among the ten best-selling novels of the year in the United States. The book was nominated for the Locus Award in 1980 and was dedicated to King's son Owen. The Dead Zone is the first story by King to feature the fictional town of Castle Rock, which serves as the setting for several later stories and is referenced in others. The TV series Castle Rock takes place in this fictional town and makes references to the Strangler whom Johnny helped track down in The Dead Zone. The Dead Zone is King's seventh novel and the fifth under his own name. The book spawned a 1983 film adaptation as well as a television series.",0451155750
Firestarter,"Firestarter is a science fiction-horror thriller novel by Stephen King, first published in September 1980. In July and August 1980, two excerpts from the novel were published in Omni. In 1981, Firestarter was nominated as Best Novel for the British Fantasy Award, Locus Poll Award, and Balrog Award. ---------- Also contained in: [Ominbus](https://openlibrary.org/works/OL25080326W)",0451167805
Franny and Zooey,"Meet Franny and her younger brother, Zooey, in two Salinger stories.",0316769029
The Rainmaker,"In his final semester of law school, Rudy Baylor ""finds himself taking on one of the most powerful, corrupt, and ruthless companies in America -- and exposing a complex, multibillion-dollar insurance scam.""",0385339607
King Lear,"King Lear divides his kingdom among the two daughters who flatter him and banishes the third one who loves him. His eldest daughters both then reject him at their homes, so Lear goes mad and wanders through a storm. His banished daughter returns with an army, but they lose the battle and Lear, all his daughters and more, die. ([source][1]) [1]: https://www.shakespeare.org.uk/explore-shakespeare/shakespedia/shakespeares-plays/king-lear/",074348276X
Congo,"Congo is a 1980 science fiction novel by Michael Crichton, the fifth under his own name and the fifteenth overall. The novel centers on an expedition searching for diamonds and investigating the mysterious deaths of a previous expedition in the dense tropical rainforest of the Congo. Crichton calls Congo a lost world novel in the tradition founded by Henry Rider Haggard's King Solomon's Mines, featuring the mines of that work's title. ---------- Also contained in: - [Congo/Jurassic Park](https://openlibrary.org/works/OL8475707W) - [Congo / Sphere / Eaters of the Dead][2] [1]: http://www.michaelcrichton.com/congo/ [2]: https://openlibrary.org/works/OL14950504W/Congo_Sphere_Eaters_of_the_Dead",0060541830
The Magicians (The Magicians #1),,0670020559
Peter Pan,,0805072454
Life After Life,"What if you could live again and again, until you got it right? On a cold and snowy night in 1910, Ursula Todd is born to an English banker and his wife. She dies before she can draw her first breath. On that same cold and snowy night, Ursula Todd is born, lets out a lusty wail, and embarks upon a life that will be, to say the least, unusual. For as she grows, she also dies, repeatedly, in a variety of ways, while the young century marches on towards its second cataclysmic world war. Does Ursula's apparently infinite number of lives give her the power to save the world from its inevitable destiny? And if she can -- will she?",0316176486
"Good in Bed (Cannie Shapiro, #1)",,0743418174
Defending Jacob,"Andy Barber has been an assistant district attorney in his suburban Massachusetts county for more than twenty years. When a shocking crime shatters their New England town, Andy is blindsided by what happens next: his fourteen-year-old son is charged with the murder of a fellow student. As the crisis reveals how little a father knows about his son, Andy will face a trial of his own-- between loyalty and justice, between truth and allegation, between a past he's tried to bury and a future he cannot conceive.",0385344228
The Things They Carried,"*The Things They Carried* (1990) is a collection of linked short stories by American novelist Tim O'Brien, about a platoon of American soldiers fighting on the ground in the Vietnam War. His third book about the war, it is based upon his experiences as a soldier in the 23rd Infantry Division.",0767902890
Uncle Tom's Cabin,"This unforgettable novel tells the story of Tom, a devoutly Christian slave who chooses not to escape bondage for fear of embarrassing his master. However, he is soon sold to a slave trader and sent down the Mississippi, where he must endure brutal treatment. This is a powerful tale of the extreme cruelties of slavery, as well as the price of loyalty and morality. When first published, it helped to solidify the anti-slavery sentiments of the North, and it remains today as the book that helped move a nation to civil war. ""So this is the little lady who made this big war."" Abraham Lincoln's legendary comment upon meeting Mrs. Stowe has been seriously questioned, but few will deny that this work fed the passions and prejudices of countless numbers. If it did not ""make"" the Civil War, it flamed the embers. That Uncle Tom's Cabin is far more than an outdated work of propaganda confounds literary criticism. The novel's overwhelming power and persuasion have outlived even the most severe of critics. As Professor John William Ward of Amherst College points out in his incisive Afterword, the dilemma posed by Mrs. Stowe is no less relevant today than it was in 1852: What is it to be ""a moral human being""? Can such a person live in society -- any society? Commenting on the timeless significance of the book, Professor Ward writes: ""Uncle Tom's Cabin is about slavery, but it is about slavery because the fatal weakness of the slave's condition is the extreme manifestation of the sickness of the general society, a society breaking up into discrete, atomistic individuals where human beings, white or black, can find no secure relation one with another. Mrs. Stowe was more radical than even those in the South who hated her could see. Uncle Tom's Cabin suggests no less than the simple and terrible possibility that society has no place in it for love."" - Back cover.",1840224029
"I Am Number Four (Lorien Legacies, #1)",,0061969559
"The Vampire Lestat (The Vampire Chronicles, #2)",,0345476883
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,,0060589469
"Guns, Germs, and Steel: The Fates of Human Societies",,0739467352
"2001: A Space Odyssey (Space Odyssey, #1)",,0451457994
